Raman_Shift_cm-1,AFG_Expt05_SM_Avg
449.4491,7.092263
450.4133,6.36239625
451.3776,5.70078575
452.3418,5.286901
453.306,4.876565
454.2703,4.164506
455.2345,2.91772175
456.1987,2.13166575
457.163,1.8833862
458.1272,1.9402491
459.0914,2.254807025
460.0557,2.84818955
461.0199,3.3275063
461.9841,3.271712375
462.9484,2.9470103
463.9126,2.504099125
464.8768,2.049634525
465.8411,1.637670275
466.8053,1.64143524
467.7695,1.965992
468.7338,2.33456125
469.698,2.71137075
470.6622,3.119779128
471.6265,3.220433925
472.5907,2.722457075
473.5549,2.279216
474.5192,1.9160994
475.4834,1.640885255
476.4476,1.554266355
477.4119,2.1598355
478.3761,2.771511
479.3403,3.166893
480.3046,3.24248725
481.2688,2.8889
482.233,1.797692975
483.1973,0.247376973
484.1615,-0.851329925
485.1257,-1.4113098
486.09,-1.5132677
487.0542,-1.30763725
488.0184,-0.616593275
488.9827,-0.112504675
489.9469,0.25701725
490.9111,0.420050159
491.8754,0.21728375
492.8396,-0.602328305
493.8038,-1.169119
494.7681,-1.29593
495.7323,-1.05853725
496.6965,-0.33869925
497.6608,0.915139725
498.625,2.078089
499.5892,2.013582
500.5535,1.301470975
501.5177,0.5824859
502.4819,0.21743645
503.4462,0.19058145
504.4104,0.239946585
505.3746,0.3691811
506.3389,0.355206383
507.3031,0.080339045
508.2673,-0.41826035
509.2316,-0.882554
510.1958,-1.443913175
511.16,-1.68183595
512.1243,-1.2993399
513.0885,-0.578038975
514.0527,-0.132345525
515.017,-0.615831675
515.9812,-1.164349125
516.9454,-1.0157616
517.9097,-0.33242886
518.8739,0.543113
519.8381,1.25937655
520.8024,1.6688803
521.7666,1.1143425
522.7308,-0.55098575
523.6951,-2.268153175
524.6593,-3.0068892
525.6235,-2.41307535
526.5878,-1.838804425
527.552,-1.318088525
528.5162,-0.798387175
529.4805,-0.236832523
530.4447,0.35779335
531.4089,0.848547275
532.3732,1.341003533
533.3374,1.533014675
534.3016,0.956757525
535.2659,-0.266413875
536.2301,-1.461093175
537.1943,-1.311291575
538.1586,-0.175451805
539.1228,0.515535
540.087,0.5249305
541.0513,0.09722975
542.0155,-0.2298135
542.9797,-0.5224059
543.944,-0.485524725
544.9082,0.2956582
545.8724,1.217743475
546.8367,1.570217875
547.8009,1.0225807
548.7651,0.286825425
549.7294,-0.56661379
550.6936,-1.256188275
551.6578,-1.435350723
552.6221,-0.97816935
553.5863,-0.3315026
554.5505,-0.63084715
555.5148,-1.331333925
556.479,-1.46860775
557.4432,-0.64337125
558.4075,0.772177775
559.3717,1.03447195
560.3359,-0.973549
561.3002,-2.2533538
562.2644,-2.18697645
563.2286,-1.284710875
564.1929,-0.560681085
565.1571,-0.0084672
566.1213,0.13539125
567.0856,-0.5863244
568.0498,-1.538850973
569.014,-2.01418915
569.9783,-1.577304073
570.9425,-0.729435675
571.9067,-0.089139548
572.871,0.39741445
573.8352,0.75524255
574.7994,0.9852005
575.7637,1.066733525
576.7279,0.930541225
577.6921,0.490527425
578.6564,0.168270215
579.6206,0.2328545
580.5848,0.583943475
581.5491,0.653736175
582.5133,-0.2403494
583.4775,-0.828199068
584.4418,-0.49968735
585.406,0.27120153
586.3702,0.678386725
587.3345,0.084741975
588.2987,-0.7436485
589.2629,-0.95159095
590.2272,-0.7322671
591.1914,-0.316842675
592.1556,0.119757
593.1199,0.552709075
594.0841,0.73678425
595.0483,0.73317575
596.0126,0.4951234
596.9768,-0.131746
597.941,-1.0737252
598.9053,-1.68291005
599.8695,-1.841694625
600.8337,-1.7449967
601.798,-1.087769253
602.7622,-0.2613792
603.7264,0.03250585
604.6907,-0.86278065
605.6549,-1.86719125
606.6191,-2.0770195
607.5834,-1.71034025
608.5476,-1.04328445
609.5118,-0.291835725
610.4761,0.49135085
611.4403,1.0787353
612.4045,1.59247975
613.3688,1.7581255
614.333,1.14564735
615.2972,-0.178648375
616.2615,-0.799508625
617.2257,0.168488975
618.1899,0.9539025
619.1542,1.222988875
620.1184,1.1383307
621.0826,1.03817225
622.0469,1.0877947
623.0111,1.177701325
623.9753,1.261991225
624.9396,1.325339675
625.9038,1.3830353
626.868,1.431599375
627.8323,1.397202175
628.7965,0.5937515
629.7607,-0.99031065
630.725,-2.0014725
631.6892,-1.5526595
632.6534,0.161241225
633.6177,1.31378845
634.5819,1.34042075
635.5461,1.26803825
636.5104,1.152674
637.4746,1.03491275
638.4388,0.955984498
639.4031,0.960239475
640.3673,0.9458024
641.3315,0.772938625
642.2958,0.5199959
643.26,0.329217523
644.2242,0.284820625
645.1885,0.314372968
646.1527,-0.061431925
647.1169,-0.85220745
648.0812,-1.14667735
649.0454,-0.41494295
650.0096,0.9526695
650.9739,1.6073678
651.9381,0.91328745
652.9023,0.4360702
653.8666,0.368665075
654.8308,0.503970975
655.795,0.59682925
656.7593,0.532083918
657.7235,0.55172505
658.6877,1.266444325
659.652,2.00512005
660.6162,2.016193275
661.5804,1.096665955
662.5447,-0.290419725
663.5089,-1.1239754
664.4731,-1.37679525
665.4374,-1.35710145
666.4016,-1.002862525
667.3658,-0.4875885
668.3301,-0.091366705
669.2943,0.181342325
670.2585,0.363270675
671.2228,0.2736992
672.187,0.213352965
673.1512,0.52661885
674.1155,1.26169155
675.0797,1.81268775
676.0439,1.29200305
677.0082,0.5885735
677.9724,0.303752125
678.9366,0.46955195
