Raman_Shift_cm-1,Norway_2-2_Avg
566.1331,24.55287167
567.0973,25.06751967
568.0615,25.20578733
569.0258,24.022916
569.99,21.79465237
570.9542,21.54424417
571.9185,23.379762
572.8827,25.08752667
573.8469,24.66292333
574.8112,21.557687
575.7754,19.727189
576.7396,19.60567233
577.7039,20.412068
578.6681,22.31940143
579.6323,24.74087103
580.5966,25.727735
581.5608,22.60162863
582.525,19.55107517
583.4893,19.032373
584.4535,20.78803633
585.4177,23.39611133
586.382,25.234773
587.3462,25.7963784
588.3104,24.73726267
589.2747,22.00709367
590.2389,19.14990867
591.2031,17.86758567
592.1674,18.8039
593.1316,20.04211273
594.0958,22.14979667
595.0601,23.492481
596.0243,22.74428833
596.9885,19.90807933
597.9528,17.39369533
598.917,16.79558967
599.8812,17.01077433
600.8455,17.764358
601.8097,18.832251
602.7739,20.157854
603.7382,22.00816967
604.7024,23.720303
605.6666,23.46856933
606.6309,21.42839333
607.5951,19.25641133
608.5593,18.82405633
609.5236,20.77352633
610.4878,22.77325
611.452,24.43154433
612.4163,25.476822
613.3805,25.447197
614.3447,24.36027133
615.309,23.63329333
616.2732,25.73986067
617.2374,27.77278867
618.2017,28.05174967
619.1659,26.89785167
620.1301,25.65439433
621.0944,25.52518767
622.0586,26.04541767
623.0228,26.794383
623.9871,27.848325
624.9513,28.79471067
625.9155,29.161369
626.8798,28.89732233
627.844,30.18374267
628.8082,32.69140667
629.7725,35.14940667
630.7367,37.72055667
631.7009,40.36733333
632.6652,41.38339667
633.6294,39.33594667
634.5936,36.92263333
635.5579,33.3918
636.5221,29.79610133
637.4863,28.370419
638.4506,31.759056
639.4148,36.73959667
640.379,37.48937333
641.3433,35.15788667
642.3075,32.16412
643.2717,30.26169667
644.236,29.38118667
645.2002,29.95967333
646.1644,33.55637333
647.1287,36.06108
648.0929,35.39094333
649.0571,32.21749667
650.0214,29.84323833
650.9856,29.28796633
651.9498,28.852189
652.9141,28.56094333
653.8783,28.30018667
654.8425,27.66086
655.8068,26.23315333
656.771,25.27180033
657.7352,27.21224767
658.6995,30.18906667
659.6637,31.65125333
660.6279,30.53514
661.5922,27.830322
662.5564,26.802954
663.5206,28.001987
664.4849,29.274201
665.4491,30.29260867
666.4133,30.73603733
667.3776,30.247342
668.3418,28.62122533
669.306,27.33883533
670.2703,26.997078
671.2345,27.06022033
672.1987,26.899806
673.163,26.15144933
674.1272,25.045858
675.0914,24.49322133
676.0557,24.03737933
677.0199,22.7414868
677.9841,20.6498528
678.9484,18.79877217
679.9126,18.95310903
680.8768,21.62984333
681.8411,23.349641
682.8053,23.339007
683.7695,23.07338867
684.7338,24.33236577
685.698,27.77035867
686.6622,29.53486133
687.6265,27.48200667
688.5907,24.88287733
689.5549,22.8576327
690.5192,21.58393567
691.4834,20.592057
692.4476,19.3001712
693.4119,18.020296
694.3761,17.50439533
695.3403,17.9045316
696.3046,19.217726
697.2688,21.38261767
698.233,24.286189
699.1973,25.057528
700.1615,22.37117467
701.1257,19.61201033
702.09,18.42494497
703.0542,18.77353467
704.0184,19.22693843
704.9827,19.36528233
705.9469,19.589982
706.9111,20.29127
707.8754,21.01357467
708.8396,20.952155
709.8038,19.57138633
710.7681,17.92795633
711.7323,17.363712
712.6965,17.423714
713.6608,18.498716
714.625,20.87984067
715.5892,23.826196
716.5535,24.68368267
717.5177,21.53662097
718.4819,19.16360667
719.4462,17.9916437
720.4104,17.36219087
721.3746,16.74285467
722.3389,16.25629833
723.3031,15.52564333
724.2673,13.11491633
725.2316,11.38596933
726.1958,12.36444367
727.16,15.55749633
728.1243,18.3882585
729.0885,18.06355677
730.0527,15.930689
731.017,14.50374333
731.9812,13.963266
732.9454,14.59653967
733.9097,16.717261
734.8739,20.302156
735.8381,22.21219
736.8024,21.59128367
737.7666,20.610555
738.7308,19.54384667
739.6951,18.454606
740.6593,17.72132177
741.6235,18.24313
742.5878,18.62036833
743.552,17.45761133
744.5162,15.914444
745.4805,15.07834433
746.4447,15.39886933
747.4089,16.4712141
