Raman.Shift,Mud Tank,Run Product (0 Hr),Avg. Starting Material,Run Product (8 Hr),Run Product (1 Hr)
427.5249,148.2535,44.694942,6.362984683333334,166.38165,50.93288667
428.4891,172.8667,49.358418,6.929747799999999,190.03195,57.40114889
429.4534,208.6443,55.676712,7.7326611666666665,225.92385,66.38304111
430.4176,259.187,64.269344,8.872744433333333,273.5167,78.09323444
431.3818,326.1741,75.485398,11.02006155,333.88535,92.94035667
432.3461,417.8003,90.681438,14.368187333333333,415.74925,113.36842
433.3103,556.5198,113.422288,18.79035,542.5862,145.7711311
434.2745,758.8005,140.381494,23.865378333333336,718.25085,185.9863622
435.2388,995.1453,188.084814,30.456464999999998,956.54145,256.3080222
436.203,1338.02,264.07354,36.60515683333333,1331.05,373.0545778
437.1672,1704.564,359.71584,42.95627316666667,1758.0915,517.6225556
438.1315,1926.565,462.96202,48.86687833333334,2075.13,659.1533778
439.0957,1928.384,610.08238,52.9089375,2267.995,837.1532889
440.0599,1821.415,702.2455,54.30148383333333,2294.349,935.7170111
441.0242,1573.854,712.16818,53.19866466666667,2082.071,912.0591
441.9884,1261.078,663.55038,48.91130666666667,1737.588,809.5265111
442.9526,969.7209,581.7671,42.529146499999996,1383.865,677.6598556
443.9169,749.0745,467.53742,35.49281033333333,1079.676,531.9313
444.8811,589.2901,355.2864,28.884366166666666,839.92885,400.8439667
445.8453,468.6791,272.77606,23.232562333333334,663.29985,304.5206444
446.8096,380.5798,214.9504,18.86809883333333,538.39065,236.9130444
447.7738,316.3484,173.926694,15.682758583333333,449.41075,188.9175889
448.738,268.5517,142.664078,13.35366425,382.3807,152.4037578
449.7023,237.1996,121.415948,11.4975381,337.21725,127.7330867
450.6665,208.7939,103.591178,10.185148216666667,295.64935,107.6873944
451.6307,182.8849,88.82589,8.99433635,257.13485,91.91885111
452.595,160.2053,76.643458,7.970051333333333,222.51635,79.32904444
453.5592,141.8489,66.964956,7.088370633333334,192.62305,69.29531222
454.5234,129.079,60.613022,6.3556455666666665,167.6514,62.59162111
455.4877,117.1178,54.711302,5.8506812833333335,147.62375,56.57449444
456.4519,104.3787,49.076818,5.480769249999999,132.35015,51.10117556
457.4161,93.4706,44.076758,5.102297433333334,120.43845,46.31852444
458.3804,86.85782,39.937796,4.7390484666666675,112.03105,42.41762444
459.3446,85.43536,36.661162,4.434567075,107.45845,39.43794444
460.3088,83.83914,34.0441,4.218255016666666,102.968,36.84383778
461.2731,78.59019,32.500772,4.0229700799999994,94.64062,34.48487444
462.2373,72.75697,31.166536,3.808869779666667,87.055775,32.28082
463.2015,67.9143,29.331902,3.5928525199999997,83.498055,30.09372111
464.1658,64.72203,26.826492,3.332880841666667,84.92372,27.91198667
465.13,62.84086,24.35577,3.020315275,88.987935,25.99823111
466.0942,62.02485,23.46295,2.7209715249999995,91.519045,25.16522222
467.0585,61.81832,23.5002826,2.8776931299999995,93.20154,24.87877778
468.0227,62.40265,24.0170942,3.386439733333333,95.296595,24.52437111
468.9869,63.87427,24.851646,3.913956283333333,98.29663,23.87650333
469.9512,65.62499,25.907548,4.386858449999999,101.685785,23.06186333
470.9154,64.13831,26.644394,4.830788276,102.536265,22.71724444
471.8796,57.6582,27.444972,5.022088175,101.08806,23.46518667
472.8439,51.95669,27.3472,4.7460541916666665,97.072405,23.52652111
473.8081,48.37392,25.63387,4.497558066666667,88.89487,22.32587111
474.7723,46.23376,22.683064,4.406986833333334,77.57345,20.10302333
475.7366,43.18168,20.0908986,4.3840187183333335,67.26772,17.83368111
476.7008,37.4552,18.5017176,4.132806651666667,58.74585,15.38282889
477.665,32.41487,17.0035462,3.301494293333333,51.579425,13.32797667
478.6293,29.17609,15.459533,2.5692674516666667,45.75078,11.88937722
479.5935,27.19532,13.9199198,2.293264316666667,41.25439,10.92902244
480.5577,25.18162,12.4753876,2.35318825,38.22062,10.17814556
481.522,21.75156,11.0956338,2.3588885533333332,37.33542,9.467659778
482.4862,18.35298,9.7870152,1.7236831183333334,36.907925,8.778466111
483.4504,16.39279,8.498224,0.6871682943333334,35.527465,8.069570889
484.4147,15.65846,7.3520798,0.12110765833333333,33.29937,7.398055111
485.3789,15.75042,6.6443286,0.11254307200000002,30.40498,6.907865222
486.3431,16.25925,6.719935,0.4127865366666666,26.95806,6.766285
487.3074,17.0653,7.510395,0.5783834166666667,23.08946,6.933544778
488.2716,16.72457,7.2277936,0.4827149683333333,20.726045,6.506869222
489.2358,15.12025,5.6652188,0.4058968216666667,20.028485,5.346398444
490.2001,13.20017,3.918841,0.34801201666666665,19.78512,4.166859889
491.1643,11.92306,3.098576,0.2871325963333333,18.67833,3.746825667
492.1285,11.65322,3.6064154,0.17990186666666666,16.044705,4.499313889
493.0928,11.02166,3.9369142,-0.03926858899999999,14.72384,4.781606333
494.057,9.291299,4.0770676,-0.13672899333333333,14.94603,4.259755333
495.0212,7.788105,4.1027508,-0.0005049400000000093,15.76279,3.697507222
495.9855,7.426309,3.9755714,0.28335163666666663,16.82276,3.599855667
496.9497,8.447881,3.6749216,0.68394719,18.067135,4.092281778
497.9139,9.676484,3.500885,1.1759544083333333,19.15408,4.527822111
498.8782,10.02586,3.52125942,1.6216814800000001,18.77604,4.210406333
499.8424,10.62931,3.7712878,1.7601237333333335,19.00222,3.880973556
500.8066,12.41017,4.431046,1.7048271583333336,21.336325,4.084904667
501.7709,15.42759,5.4922894,1.6200423333333334,26.03296,4.916707889
502.7351,18.75071,6.6974128,1.6108906366666667,31.996135,5.940514222
503.6993,20.79808,7.4955408,1.6810065566666665,38.358945,6.192401111
504.6636,21.88393,8.0336132,1.6163574883333334,44.223125,6.002978667
505.6278,22.34734,8.7483166,1.31089984,47.02035,6.217491
506.592,22.20506,9.751828,1.0204454243333332,45.99031,7.064347444
507.5563,21.50572,10.7546216,0.8659614416666667,42.04076,8.167805111
508.5205,20.48854,10.9167564,0.8274600086666667,38.02881,8.388586222
509.4847,19.30939,9.5728082,0.6943193566666667,33.95492,6.919763889
510.449,17.42672,8.4209926,0.3128776716666666,29.8458,5.705708333
511.4132,14.4777,7.5760044,0.08757978333333331,25.66392,4.830752778
512.3774,11.01502,6.9062428,0.1658193233333333,21.52972,4.206446144
513.3417,7.769111,6.1584582,0.3961737816666666,17.493255,3.679959578
514.3059,4.280938,5.1266482,0.4655989983333333,13.12348,3.220716922
515.2701,2.065098,4.1478896,0.0754210916666667,9.657644,2.845596732
516.2344,2.245693,3.36260308,-0.3983557543333333,7.4896205,2.5957862
517.1986,3.451611,2.7046694,-0.6809349133333334,6.2457125,2.416127922
518.1628,4.224014,2.1396316,-0.7608755333333334,5.6996795,2.285433411
519.1271,3.655117,1.66869994,-0.6560450036666667,5.815988,2.212680111
520.0913,2.626504,1.21392628,-0.3894838966666667,6.108985,2.078221144
521.0555,2.527314,0.5408595,-0.03630742333333333,5.844641,1.614299611
522.0198,2.815596,-0.22013552,-0.032596086666666656,5.15643,0.989862872
522.984,2.552656,-0.92850264,-0.4260445293333333,4.176852,0.428307189
523.9482,1.114961,-1.495489248,-0.8643155583333333,2.99594105,0.078141889
524.9125,-1.351611,-1.909111,-0.99007304,1.6262085,-0.060813189
525.8767,-1.976006,-1.454592164,-0.6563333366666667,0.412985,0.232288589
526.8409,-0.3419922,0.12210592,-0.35735320433333334,-0.8387145,1.095760211
527.8052,1.241846,1.476985,-0.08334958500000005,-1.3766663,1.801397967
528.7694,1.727119,1.964651,0.15346574166666668,-0.3993195,2.019893078
529.7336,1.156572,1.6266444,0.29511883899999997,1.9976683,1.769986823
530.6979,0.8128321,1.39510308,0.32302881,3.3781555,1.456339656
531.6621,1.1479,1.29031506,0.3754459316666667,2.3200439,0.821235433
532.6263,1.158896,1.3158715,0.8037688443333334,1.30985715,0.419797868
533.5906,0.2692285,1.64999718,1.084791155,0.77773115,0.536931489
534.5548,-1.119785,2.1260026,0.7227142696666666,0.7939576,1.015868478
535.519,-1.958242,2.33333256,-0.21756716833333334,1.2459504,1.418018489
536.4833,-1.203897,1.82094124,-1.162938765,2.2071135,1.402079367
537.4475,0.1643945,1.1833291,-1.0406339873333332,3.5439305,1.253403978
538.4117,1.348428,0.739395,-0.07872507499999999,4.975107,1.068140324
539.376,2.354912,0.54109956,0.7491358133333333,6.588565,0.938609952
540.3402,3.385254,0.65175076,1.2883872433333334,8.647762,1.027295029
541.3044,4.68209,1.15623172,1.5815013433333334,11.4633825,1.525013756
542.2687,6.25583,1.99667842,1.758268046666667,15.01116,2.387395844
543.2329,7.770029,2.5035399,1.7330675400000002,18.410215,2.934896744
544.1971,9.243056,2.64580762,1.770357781666667,21.74703,3.1194804
545.1614,10.21267,2.824442828,1.9552707400000002,24.31405,3.395535933
546.1256,10.18419,3.51643796,2.230598315,25.385965,4.361906222
547.0898,8.922022,5.030095,2.5752624183333332,24.693335,6.485467778
548.0541,7.657842,5.7826998,3.0735505219999997,23.47453,7.415632222
549.0183,6.077744,5.5935486,3.1560727683333334,22.20057,6.726785667
549.9825,4.898789,5.11950114,2.4153648886666663,20.217695,5.667243333
