Raman.Shift,Zircon_005,Zircon_006,Zircon_007
441.9884,631.536035,1691.039735,741.3552010999999
442.9526,554.5451425,1342.56057,618.5988036
443.9169,445.650425,1044.4727599999999,482.54310399999997
444.8811,338.37464750000004,810.46394,360.5675307
445.8453,259.95062499999995,638.88411,272.0641324
446.8096,204.8378285,518.3718090000001,210.4401604
447.7738,165.30707225,433.12239800000003,166.7772869
448.738,134.83365824999998,368.992239,133.5616458
449.7023,114.323685,325.6261005,111.9238849
450.6665,97.22878175,284.40972600000003,94.73397
451.6307,83.12510425,246.63968949999997,81.13178831
452.595,71.356557,213.56403699999998,69.65810444
453.5592,62.088391,185.22464150000002,60.30517382
454.5234,56.448516,160.8809365,54.45965391
455.4877,51.793580250000005,139.9399015,49.62402084
456.4519,46.94515225000001,124.24111800000001,44.89956556
457.4161,42.1933718,113.0690055,40.26446284
458.3804,37.997546899999996,105.7885355,36.38324264
459.3446,34.406354975,102.2101558,33.63734444
460.3088,31.19591045,98.3659571,31.63930518
461.2731,29.173265699999998,90.408832,29.9752585
462.2373,27.894823625,82.754229,28.427469035999998
463.2015,26.3848917,79.027114,26.73311485
464.1658,24.322392875,80.605608,24.735555270000003
465.13,22.306135474999998,85.35064349999999,22.62421131
466.0942,21.825279724999998,88.9072335,21.25178942
467.0585,21.85884736,90.96121844999999,20.12745518
468.0227,22.0511022,92.914887,18.71275191
468.9869,22.51708475,95.567973,17.197852729999997
469.9512,23.196177249999998,98.427016,15.87142773
470.9154,23.524614871999997,98.5423595,15.338564240000002
471.8796,24.224538074999998,96.632289,16.07512707
472.8439,24.624742925,92.6349525,16.44826811
473.8081,23.354654000000004,84.48107,15.526212910000002
474.7723,20.7669646,72.9736645,13.397947729999999
475.7366,18.450013345,62.407819499999995,11.182410710000001
476.7008,16.947451245,54.075374,9.209151290000001
477.665,14.843710699999999,48.398166,8.764588289999999
478.6293,12.688022,43.930806245,8.77305962
479.5935,10.7530268,39.98132315,8.489189340000001
480.5577,9.23290035,36.806221699999995,7.775466360000001
481.522,8.2067338,35.6205212,6.994792918
482.4862,7.989322225,35.4114645,6.901570231
483.4504,8.250847027,34.64554975,7.137358228999999
484.4147,8.203409725,32.918455800000004,6.564316411
485.3789,8.0556384,30.345179249999997,5.218726955999999
486.3431,8.2332027,27.03718215,3.93553554
487.3074,8.81803225,23.150109099999998,3.8301081779999997
488.2716,7.844386875,20.536738,4.631438041999999
489.2358,5.777723475,19.693908,4.350780304
490.2001,3.66182375,19.5022578,3.6627032890000004
491.1643,2.678525841,18.50349025,3.480317787
492.1285,3.38913165,15.890823150000001,4.330773889
493.0928,4.539242505,14.479285849999998,4.541637945
494.057,5.246186600000001,14.5300975,3.916755813
495.0212,5.3986808,15.0408266,3.125055442
495.9855,5.03410865,15.727353099999998,2.786670407
496.9497,4.01362085,16.585638,3.1832379580000003
497.9139,2.585745275,17.3098815,3.759297111
498.8782,1.44317042,16.596863499999998,3.6026273929999997
499.8424,1.7577058,16.446026500000002,3.170377856
500.8066,3.1295750250000003,18.482125999999997,3.126093167
501.7709,4.9098035,23.1114115,3.5606152890000002
502.7351,6.47997635,29.297373999999998,4.024039762
503.6993,7.30495935,36.111383,3.5875248909999997
504.6636,7.793666614999999,42.486908500000006,3.130069287
505.6278,8.3791355,46.0113735,3.6629490799999997
506.592,9.396621617,45.48584071,4.862686844000001
507.5563,10.674282555,41.4602012,6.230818631
508.5205,11.335016750000001,36.89956985,6.617185996000001
509.4847,10.455362200000001,32.730528650000004,5.178643169000001
510.449,9.864905775,29.93665315,3.2323089929999997
511.4132,9.25784035,26.5407535,2.009343978
512.3774,8.2055827,21.98543885,1.953929424
513.3417,6.736497175,16.7674983,2.639155958
514.3059,5.258993725,11.4544475,3.360606902
515.2701,4.763721275,7.935563049999999,3.7255827320000003
516.2344,4.526952205,6.29289645,3.823228388
517.1986,3.7204309999999996,6.2203173,3.4685662619999995
518.1628,2.47206046,7.1041365,2.831174151
519.1271,1.12558694,8.204314,2.335602122
520.0913,-0.045450270000000126,8.2620815,2.352952884
521.0555,-1.1280208,6.64188095,2.594862231
522.0198,-1.33447802,5.2122375000000005,2.146186132
522.984,-0.37751689,4.1351772,1.197129827
523.9482,0.7726639270000002,3.1052895499999997,0.293586889
524.9125,1.0977781999999998,1.77322,-0.244494769
525.8767,0.9584831860000003,0.4208405,-0.219642251
526.8409,1.960910345,-0.9888244,0.479125299
527.8052,2.7950735250000003,-1.8075666499999998,1.164258547
528.7694,2.763038175,-1.0305115,1.3923006779999998
529.7336,1.863476923,1.4922008,1.153265283
530.6979,1.03730973,3.3611375,0.862064576
