Raman.Shift,Mud Tank
758.257,2.191524
759.2212,5.163574
760.1854,6.07251
761.1497,4.106846
762.1139,2.695303
763.0781,1.989766
764.0424,1.584189
765.0066,1.20665
765.9708,0.8835645
766.9351,0.7541211
767.8993,1.249189
768.8635,1.543164
769.8278,1.04834
770.792,0.0511914
771.7562,-0.728457
772.7205,-0.6995215
773.6847,-0.2105859
774.6489,0.04492188
775.6132,0.108125
776.5774,0.03882812
777.5416,-0.1493164
778.5059,-0.3967383
779.4701,-0.4188867
780.4343,0.04829102
781.3986,0.5286816
782.3628,1.057412
783.327,1.455801
784.2913,1.501748
785.2555,1.144902
786.2197,0.9317676
787.184,1.207637
788.1482,1.56793
789.1124,1.663311
790.0767,1.579648
791.0409,1.748545
792.0051,2.690312
792.9694,4.183731
793.9336,5.357041
794.8978,6.199883
795.8621,6.455859
796.8263,5.711699
797.7905,4.091152
798.7548,3.475957
799.719,5.430664
800.6832,6.687149
801.6475,6.633721
802.6117,5.940635
803.5759,5.131094
804.5402,4.171514
805.5044,3.989492
806.4686,6.171836
807.4329,9.034287
808.3971,11.35362
809.3613,12.89486
810.3256,14.09773
811.2898,15.51756
812.254,17.12926
813.2183,18.72849
814.1825,20.23684
815.1467,22.32104
816.111,25.46089
817.0752,29.58738
818.0394,33.93148
819.0037,39.17353
819.9679,43.57749
820.9321,47.13664
821.8964,49.69247
822.8606,50.98605
823.8248,50.87447
824.7891,49.61153
825.7533,46.69691
826.7175,43.21487
827.6818,40.13625
828.646,37.64442
829.6102,35.51799
830.5745,33.49556
831.5387,31.56521
832.5029,29.65017
833.4672,27.74223
834.4314,26.01348
835.3956,24.49998
836.3599,23.1769
837.3241,22.04921
838.2883,21.12938
839.2526,20.50076
840.2168,20.57703
841.181,20.74274
842.1453,20.22939
843.1095,18.77256
844.0737,16.9503
845.038,15.6757
846.0022,14.88435
846.9664,14.24032
847.9307,13.72096
848.8949,13.4308
849.8591,13.57123
850.8234,14.26964
851.7876,14.47177
852.7518,13.59456
853.7161,12.86013
854.6803,12.67175
855.6445,12.91951
856.6088,13.40531
857.573,14.17983
858.5372,14.75591
859.5015,14.28045
860.4657,13.50704
861.4299,13.35263
862.3942,14.03753
863.3584,15.03518
864.3226,15.4584
865.2869,15.22981
866.2511,15.80583
867.2153,17.48103
868.1796,19.21361
869.1438,20.41274
870.108,21.11185
871.0723,21.64373
872.0365,22.29534
873.0007,22.416
873.965,21.32282
874.9292,19.88015
875.8934,19.23903
876.8577,19.74956
877.8219,20.25145
878.7861,18.70746
879.7504,16.25756
880.7146,15.23699
881.6788,15.81574
882.6431,16.63421
883.6073,16.22701
884.5715,14.48529
885.5358,13.03384
886.5,11.67101
887.4642,10.73529
888.4285,10.83795
889.3927,11.31756
890.3569,10.95802
891.3212,9.195068
892.2854,7.664844
893.2496,7.708047
894.2139,8.281094
895.1781,8.732822
896.1423,8.935371
897.1066,9.033008
898.0708,9.163028
899.035,9.357979
899.9993,9.960332
900.9635,11.0258
901.9277,11.63987
902.892,11.31586
903.8562,10.38112
904.8204,9.620254
905.7847,8.934609
906.7489,8.598858
907.7131,8.815742
908.6774,9.121709
909.6416,9.214531
910.6058,9.129443
911.5701,9.160381
912.5343,9.562109
913.4985,10.14887
914.4628,10.59562
915.427,10.92548
916.3912,11.13138
917.3555,11.14318
918.3197,11.04471
919.2839,11.30901
920.2482,12.3578
921.2124,13.22761
922.1766,13.98517
923.1409,14.5349
924.1051,14.70667
925.0693,14.55161
926.0336,14.4683
926.9978,14.7134
927.962,15.02242
928.9263,15.26177
929.8905,15.37521
930.8547,15.23853
931.819,14.80625
932.7832,14.24944
933.7474,14.02104
934.7117,14.32561
935.6759,14.56103
936.6401,14.31882
937.6044,14.41546
938.5686,15.98
939.5328,18.84726
940.4971,20.18393
941.4613,18.0603
942.4255,16.29361
943.3898,15.84761
944.354,16.3879
945.3182,17.7649
946.2825,19.73917
947.2467,21.50132
948.2109,21.7648
949.1752,21.1785
950.1394,21.67985
951.1036,23.40827
952.0679,25.28314
953.0321,26.35683
953.9963,26.61701
954.9606,26.83098
955.9248,26.25457
956.889,26.627
957.8533,28.63086
958.8175,31.42919
959.7817,34.26524
960.746,36.98312
961.7102,39.8417
962.6744,42.2076
963.6387,45.61574
964.6029,50.07705
965.5671,56.93995
966.5314,65.19858
967.4956,74.40537
968.4598,92.68973
969.4241,148.0753
970.3883,247.3594
971.3525,381.2352
972.3168,636.7107
973.281,847.7986
974.2452,873.1599
975.2095,723.711
976.1737,554.223
977.1379,386.4177
978.1022,254.5209
979.0664,181.0233
980.0306,144.9543
980.9949,126.1387
981.9591,114.284
982.9233,107.5644
983.8876,103.4682
984.8518,102.0868
985.816,101.1132
986.7803,100.0301
987.7445,100.8068
988.7087,105.0921
989.673,112.2934
990.6372,119.5611
991.6014,125.4014
992.5657,134.3169
993.5299,145.678
994.4941,161.1841
995.4584,179.5708
996.4226,202.6423
997.3868,231.8503
998.3511,263.3775
999.3153,315.2725
1000.28,367.3923
1001.244,450.907
1002.208,709.7628
1003.172,1174.096
1004.136,1910.876
1005.101,3241.308
1006.065,5760.675
1007.029,6981.639
1007.993,6334.5
1008.958,5221.224
1009.922,3820.254
1010.886,2401.686
1011.85,1349.503
1012.815,824.385
1013.779,571.8215
1014.743,426.9156
1015.707,342.1974
1016.672,282.6925
1017.636,239.6918
1018.6,208.0985
1019.564,183.3689
1020.528,165.1814
1021.493,148.129
1022.457,130.7018
1023.421,116.7807
1024.385,107.7413
1025.35,101.407
1026.314,96.23543
1027.278,92.01414
1028.242,88.03249
1029.207,83.51026
1030.171,79.17853
1031.135,75.40414
1032.099,72.17007
1033.063,69.78262
1034.028,68.35442
1034.992,67.24057
1035.956,64.99246
1036.92,61.11483
1037.885,58.04431
1038.849,55.98793
1039.813,54.46449
1040.777,53.56737
1041.742,53.1065
1042.706,52.42586
1043.67,51.13343
1044.634,50.14778
1045.599,50.58809
1046.563,51.14933
1047.527,50.72299
1048.491,49.4705
1049.455,48.26692
1050.42,47.75172
1051.384,47.6251
1052.348,47.03482
1053.312,46.00173
1054.277,45.25324
1055.241,45.16377
1056.205,45.10551
1057.169,44.34125
1058.134,42.89359
1059.098,41.72482
1060.062,40.76512
1061.026,40.2677
1061.99,41.07071
1062.955,42.04263
1063.919,41.76979
1064.883,40.18332
1065.847,38.67084
1066.812,38.63314
1067.776,39.58291
1068.74,39.75867
1069.704,39.25769
1070.669,38.97967
1071.633,39.36724
1072.597,40.12313
1073.561,40.78317
1074.526,41.41481
1075.49,41.69101
1076.454,41.268
1077.418,40.6499
1078.382,39.46824
1079.347,38.39515
1080.311,38.53514
1081.275,40.17932
1082.239,42.08679
1083.204,42.80785
1084.168,42.84963
1085.132,43.60432
1086.096,44.97874
1087.061,46.04602
1088.025,46.25198
1088.989,45.71735
1089.953,44.82656
1090.917,43.50491
1091.882,42.75781
1092.846,42.21682
1093.81,42.17409
1094.774,43.0952
1095.739,44.49253
1096.703,45.68663
1097.667,46.4706
1098.631,46.82307
1099.596,46.1729
1100.56,45.12444
